x,panel,w1,site_index,sample_index,stratum,x_coord,y_coord,is_in_sample,stratum_index,site_in_stratum_index,y,seq_site_index,trials
5,panel-01,-0.04911682354128025,368,4,A,0.375,0.07499999999999996,TRUE,1,55,81,4,100
1,panel-02,-0.13392743631454135,21,1,B,0.025,0.925,TRUE,2,21,84,5,100
1,panel-02,-0.13392743631454135,21,2,B,0.025,0.925,TRUE,2,21,83,5,100
1,panel-02,-0.13392743631454135,21,3,B,0.025,0.925,TRUE,2,21,82,5,100
1,panel-02,-0.13392743631454135,21,4,B,0.025,0.925,TRUE,2,21,87,5,100
6,panel-02,-0.13392743631454135,21,1,B,0.025,0.925,TRUE,2,21,92,5,100
6,panel-02,-0.13392743631454135,21,2,B,0.025,0.925,TRUE,2,21,93,5,100
6,panel-02,-0.13392743631454135,21,3,B,0.025,0.925,TRUE,2,21,92,5,100
6,panel-02,-0.13392743631454135,21,4,B,0.025,0.925,TRUE,2,21,86,5,100
1,panel-02,-0.025185554058755,140,1,B,0.9750000000000001,0.675,TRUE,2,140,79,6,100
1,panel-02,-0.025185554058755,140,2,B,0.9750000000000001,0.675,TRUE,2,140,75,6,100
1,panel-02,-0.025185554058755,140,3,B,0.9750000000000001,0.675,TRUE,2,140,77,6,100
1,panel-02,-0.025185554058755,140,4,B,0.9750000000000001,0.675,TRUE,2,140,70,6,100
6,panel-02,-0.025185554058755,140,1,B,0.9750000000000001,0.675,TRUE,2,140,91,6,100
6,panel-02,-0.025185554058755,140,2,B,0.9750000000000001,0.675,TRUE,2,140,87,6,100
6,panel-02,-0.025185554058755,140,3,B,0.9750000000000001,0.675,TRUE,2,140,87,6,100
6,panel-02,-0.025185554058755,140,4,B,0.9750000000000001,0.675,TRUE,2,140,95,6,100
1,panel-02,0.20389310042639422,150,1,B,0.47500000000000003,0.625,TRUE,2,149,71,7,100
1,panel-02,0.20389310042639422,150,2,B,0.47500000000000003,0.625,TRUE,2,149,70,7,100
1,panel-02,0.20389310042639422,150,3,B,0.47500000000000003,0.625,TRUE,2,149,80,7,100
1,panel-02,0.20389310042639422,150,4,B,0.47500000000000003,0.625,TRUE,2,149,70,7,100
6,panel-02,0.20389310042639422,150,1,B,0.47500000000000003,0.625,TRUE,2,149,81,7,100
6,panel-02,0.20389310042639422,150,2,B,0.47500000000000003,0.625,TRUE,2,149,88,7,100
6,panel-02,0.20389310042639422,150,3,B,0.47500000000000003,0.625,TRUE,2,149,86,7,100
6,panel-02,0.20389310042639422,150,4,B,0.47500000000000003,0.625,TRUE,2,149,90,7,100
1,panel-02,-0.05799648854268727,347,1,A,0.325,0.125,TRUE,1,46,85,5,100
1,panel-02,-0.05799648854268727,347,1,A,0.325,0.125,TRUE,1,46,83,5,100
1,panel-02,-0.05799648854268727,347,2,A,0.325,0.125,TRUE,1,46,79,5,100
1,panel-02,-0.05799648854268727,347,2,A,0.325,0.125,TRUE,1,46,78,5,100
1,panel-02,-0.05799648854268727,347,3,A,0.325,0.125,TRUE,1,46,79,5,100
1,panel-02,-0.05799648854268727,347,3,A,0.325,0.125,TRUE,1,46,75,5,100
1,panel-02,-0.05799648854268727,347,4,A,0.325,0.125,TRUE,1,46,80,5,100
1,panel-02,-0.05799648854268727,347,4,A,0.325,0.125,TRUE,1,46,80,5,100
6,panel-02,-0.05799648854268727,347,1,A,0.325,0.125,TRUE,1,46,75,5,100
6,panel-02,-0.05799648854268727,347,1,A,0.325,0.125,TRUE,1,46,77,5,100
6,panel-02,-0.05799648854268727,347,2,A,0.325,0.125,TRUE,1,46,85,5,100
6,panel-02,-0.05799648854268727,347,2,A,0.325,0.125,TRUE,1,46,84,5,100
6,panel-02,-0.05799648854268727,347,3,A,0.325,0.125,TRUE,1,46,77,5,100
6,panel-02,-0.05799648854268727,347,3,A,0.325,0.125,TRUE,1,46,83,5,100
6,panel-02,-0.05799648854268727,347,4,A,0.325,0.125,TRUE,1,46,82,5,100
6,panel-02,-0.05799648854268727,347,4,A,0.325,0.125,TRUE,1,46,79,5,100
1,panel-02,-0.22277477963659675,357,1,B,0.8250000000000001,0.125,TRUE,2,310,82,8,100
1,panel-02,-0.22277477963659675,357,2,B,0.8250000000000001,0.125,TRUE,2,310,81,8,100
1,panel-02,-0.22277477963659675,357,3,B,0.8250000000000001,0.125,TRUE,2,310,87,8,100
1,panel-02,-0.22277477963659675,357,4,B,0.8250000000000001,0.125,TRUE,2,310,80,8,100
6,panel-02,-0.22277477963659675,357,1,B,0.8250000000000001,0.125,TRUE,2,310,91,8,100
6,panel-02,-0.22277477963659675,357,2,B,0.8250000000000001,0.125,TRUE,2,310,94,8,100
6,panel-02,-0.22277477963659675,357,3,B,0.8250000000000001,0.125,TRUE,2,310,92,8,100
6,panel-02,-0.22277477963659675,357,4,B,0.8250000000000001,0.125,TRUE,2,310,95,8,100
1,panel-02,0.08834762411476607,381,1,A,0.025,0.02499999999999991,TRUE,1,56,79,6,100
1,panel-02,0.08834762411476607,381,2,A,0.025,0.02499999999999991,TRUE,1,56,74,6,100
1,panel-02,0.08834762411476607,381,3,A,0.025,0.02499999999999991,TRUE,1,56,77,6,100
1,panel-02,0.08834762411476607,381,4,A,0.025,0.02499999999999991,TRUE,1,56,70,6,100
6,panel-02,0.08834762411476607,381,1,A,0.025,0.02499999999999991,TRUE,1,56,66,6,100
6,panel-02,0.08834762411476607,381,2,A,0.025,0.02499999999999991,TRUE,1,56,73,6,100
6,panel-02,0.08834762411476607,381,3,A,0.025,0.02499999999999991,TRUE,1,56,72,6,100
6,panel-02,0.08834762411476607,381,4,A,0.025,0.02499999999999991,TRUE,1,56,76,6,100
2,panel-03,-0.20039914909672646,126,1,B,0.275,0.675,TRUE,2,126,87,9,100
2,panel-03,-0.20039914909672646,126,2,B,0.275,0.675,TRUE,2,126,94,9,100
2,panel-03,-0.20039914909672646,126,3,B,0.275,0.675,TRUE,2,126,81,9,100
2,panel-03,-0.20039914909672646,126,4,B,0.275,0.675,TRUE,2,126,80,9,100
7,panel-03,-0.20039914909672646,126,1,B,0.275,0.675,TRUE,2,126,98,9,100
7,panel-03,-0.20039914909672646,126,2,B,0.275,0.675,TRUE,2,126,93,9,100
7,panel-03,-0.20039914909672646,126,3,B,0.275,0.675,TRUE,2,126,97,9,100
7,panel-03,-0.20039914909672646,126,4,B,0.275,0.675,TRUE,2,126,94,9,100
2,panel-03,7.31496920651286e-4,237,1,B,0.8250000000000001,0.42499999999999993,TRUE,2,226,84,10,100
2,panel-03,7.31496920651286e-4,237,2,B,0.8250000000000001,0.42499999999999993,TRUE,2,226,81,10,100
2,panel-03,7.31496920651286e-4,237,3,B,0.8250000000000001,0.42499999999999993,TRUE,2,226,86,10,100
2,panel-03,7.31496920651286e-4,237,4,B,0.8250000000000001,0.42499999999999993,TRUE,2,226,80,10,100
7,panel-03,7.31496920651286e-4,237,1,B,0.8250000000000001,0.42499999999999993,TRUE,2,226,91,10,100
7,panel-03,7.31496920651286e-4,237,2,B,0.8250000000000001,0.42499999999999993,TRUE,2,226,85,10,100
7,panel-03,7.31496920651286e-4,237,3,B,0.8250000000000001,0.42499999999999993,TRUE,2,226,92,10,100
7,panel-03,7.31496920651286e-4,237,4,B,0.8250000000000001,0.42499999999999993,TRUE,2,226,89,10,100
2,panel-03,-0.027786760502546998,262,1,A,0.07500000000000001,0.32499999999999996,TRUE,1,17,78,7,100
2,panel-03,-0.027786760502546998,262,2,A,0.07500000000000001,0.32499999999999996,TRUE,1,17,76,7,100
2,panel-03,-0.027786760502546998,262,3,A,0.07500000000000001,0.32499999999999996,TRUE,1,17,76,7,100
2,panel-03,-0.027786760502546998,262,4,A,0.07500000000000001,0.32499999999999996,TRUE,1,17,82,7,100
7,panel-03,-0.027786760502546998,262,1,A,0.07500000000000001,0.32499999999999996,TRUE,1,17,77,7,100
7,panel-03,-0.027786760502546998,262,2,A,0.07500000000000001,0.32499999999999996,TRUE,1,17,78,7,100
7,panel-03,-0.027786760502546998,262,3,A,0.07500000000000001,0.32499999999999996,TRUE,1,17,80,7,100
7,panel-03,-0.027786760502546998,262,4,A,0.07500000000000001,0.32499999999999996,TRUE,1,17,85,7,100
2,panel-03,0.13098745915336735,278,1,B,0.875,0.32499999999999996,TRUE,2,258,81,11,100
2,panel-03,0.13098745915336735,278,2,B,0.875,0.32499999999999996,TRUE,2,258,84,11,100
2,panel-03,0.13098745915336735,278,3,B,0.875,0.32499999999999996,TRUE,2,258,72,11,100
2,panel-03,0.13098745915336735,278,4,B,0.875,0.32499999999999996,TRUE,2,258,86,11,100
7,panel-03,0.13098745915336735,278,1,B,0.875,0.32499999999999996,TRUE,2,258,90,11,100
7,panel-03,0.13098745915336735,278,2,B,0.875,0.32499999999999996,TRUE,2,258,91,11,100
7,panel-03,0.13098745915336735,278,3,B,0.875,0.32499999999999996,TRUE,2,258,93,11,100
7,panel-03,0.13098745915336735,278,4,B,0.875,0.32499999999999996,TRUE,2,258,90,11,100
2,panel-03,0.14982436394263765,286,1,A,0.275,0.2749999999999999,TRUE,1,26,74,8,100
2,panel-03,0.14982436394263765,286,2,A,0.275,0.2749999999999999,TRUE,1,26,76,8,100
2,panel-03,0.14982436394263765,286,3,A,0.275,0.2749999999999999,TRUE,1,26,79,8,100
2,panel-03,0.14982436394263765,286,4,A,0.275,0.2749999999999999,TRUE,1,26,76,8,100
7,panel-03,0.14982436394263765,286,1,A,0.275,0.2749999999999999,TRUE,1,26,75,8,100
7,panel-03,0.14982436394263765,286,2,A,0.275,0.2749999999999999,TRUE,1,26,81,8,100
7,panel-03,0.14982436394263765,286,3,A,0.275,0.2749999999999999,TRUE,1,26,84,8,100
7,panel-03,0.14982436394263765,286,4,A,0.275,0.2749999999999999,TRUE,1,26,70,8,100
2,panel-03,0.055703499230061494,332,1,B,0.5750000000000001,0.17499999999999993,TRUE,2,293,76,12,100
2,panel-03,0.055703499230061494,332,2,B,0.5750000000000001,0.17499999999999993,TRUE,2,293,82,12,100
2,panel-03,0.055703499230061494,332,3,B,0.5750000000000001,0.17499999999999993,TRUE,2,293,81,12,100
2,panel-03,0.055703499230061494,332,4,B,0.5750000000000001,0.17499999999999993,TRUE,2,293,86,12,100
7,panel-03,0.055703499230061494,332,1,B,0.5750000000000001,0.17499999999999993,TRUE,2,293,95,12,100
7,panel-03,0.055703499230061494,332,2,B,0.5750000000000001,0.17499999999999993,TRUE,2,293,91,12,100
7,panel-03,0.055703499230061494,332,3,B,0.5750000000000001,0.17499999999999993,TRUE,2,293,91,12,100
7,panel-03,0.055703499230061494,332,4,B,0.5750000000000001,0.17499999999999993,TRUE,2,293,93,12,100
2,panel-03,0.24840003272824984,363,1,A,0.125,0.07499999999999996,TRUE,1,50,68,9,100
2,panel-03,0.24840003272824984,363,2,A,0.125,0.07499999999999996,TRUE,1,50,75,9,100
2,panel-03,0.24840003272824984,363,3,A,0.125,0.07499999999999996,TRUE,1,50,79,9,100
2,panel-03,0.24840003272824984,363,4,A,0.125,0.07499999999999996,TRUE,1,50,71,9,100
7,panel-03,0.24840003272824984,363,1,A,0.125,0.07499999999999996,TRUE,1,50,74,9,100
7,panel-03,0.24840003272824984,363,2,A,0.125,0.07499999999999996,TRUE,1,50,79,9,100
7,panel-03,0.24840003272824984,363,3,A,0.125,0.07499999999999996,TRUE,1,50,81,9,100
7,panel-03,0.24840003272824984,363,4,A,0.125,0.07499999999999996,TRUE,1,50,74,9,100
2,panel-03,0.16290308653970062,383,1,A,0.125,0.02499999999999991,TRUE,1,58,72,10,100
2,panel-03,0.16290308653970062,383,2,A,0.125,0.02499999999999991,TRUE,1,58,81,10,100
2,panel-03,0.16290308653970062,383,3,A,0.125,0.02499999999999991,TRUE,1,58,84,10,100
2,panel-03,0.16290308653970062,383,4,A,0.125,0.02499999999999991,TRUE,1,58,77,10,100
7,panel-03,0.16290308653970062,383,1,A,0.125,0.02499999999999991,TRUE,1,58,77,10,100
7,panel-03,0.16290308653970062,383,2,A,0.125,0.02499999999999991,TRUE,1,58,83,10,100
7,panel-03,0.16290308653970062,383,3,A,0.125,0.02499999999999991,TRUE,1,58,78,10,100
7,panel-03,0.16290308653970062,383,4,A,0.125,0.02499999999999991,TRUE,1,58,74,10,100
3,panel-04,-0.18421208557307941,22,1,B,0.07500000000000001,0.925,TRUE,2,22,89,13,100
3,panel-04,-0.18421208557307941,22,2,B,0.07500000000000001,0.925,TRUE,2,22,86,13,100
3,panel-04,-0.18421208557307941,22,3,B,0.07500000000000001,0.925,TRUE,2,22,94,13,100
3,panel-04,-0.18421208557307941,22,4,B,0.07500000000000001,0.925,TRUE,2,22,87,13,100
3,panel-04,0.09158335377979811,95,1,B,0.7250000000000001,0.775,TRUE,2,95,83,14,100
3,panel-04,0.09158335377979811,95,2,B,0.7250000000000001,0.775,TRUE,2,95,78,14,100
3,panel-04,0.09158335377979811,95,3,B,0.7250000000000001,0.775,TRUE,2,95,83,14,100
3,panel-04,0.09158335377979811,95,4,B,0.7250000000000001,0.775,TRUE,2,95,77,14,100
3,panel-04,0.14556192868828322,172,1,B,0.5750000000000001,0.575,TRUE,2,170,79,15,100
3,panel-04,0.14556192868828322,172,2,B,0.5750000000000001,0.575,TRUE,2,170,77,15,100
3,panel-04,0.14556192868828322,172,3,B,0.5750000000000001,0.575,TRUE,2,170,83,15,100
3,panel-04,0.14556192868828322,172,4,B,0.5750000000000001,0.575,TRUE,2,170,85,15,100
3,panel-04,0.13451232356053774,221,1,A,0.025,0.42499999999999993,TRUE,1,8,73,11,100
3,panel-04,0.13451232356053774,221,2,A,0.025,0.42499999999999993,TRUE,1,8,80,11,100
3,panel-04,0.13451232356053774,221,3,A,0.025,0.42499999999999993,TRUE,1,8,75,11,100
3,panel-04,0.13451232356053774,221,4,A,0.025,0.42499999999999993,TRUE,1,8,76,11,100
3,panel-04,0.25763449708432995,264,1,A,0.17500000000000002,0.32499999999999996,TRUE,1,19,66,12,100
3,panel-04,0.25763449708432995,264,2,A,0.17500000000000002,0.32499999999999996,TRUE,1,19,76,12,100
3,panel-04,0.25763449708432995,264,3,A,0.17500000000000002,0.32499999999999996,TRUE,1,19,85,12,100
3,panel-04,0.25763449708432995,264,4,A,0.17500000000000002,0.32499999999999996,TRUE,1,19,77,12,100
3,panel-04,0.02133142925679241,305,1,A,0.225,0.22499999999999998,TRUE,1,31,78,13,100
3,panel-04,0.02133142925679241,305,2,A,0.225,0.22499999999999998,TRUE,1,31,80,13,100
3,panel-04,0.02133142925679241,305,3,A,0.225,0.22499999999999998,TRUE,1,31,85,13,100
3,panel-04,0.02133142925679241,305,4,A,0.225,0.22499999999999998,TRUE,1,31,85,13,100
3,panel-04,0.3611429922552754,330,1,B,0.47500000000000003,0.17499999999999993,TRUE,2,291,75,16,100
3,panel-04,0.3611429922552754,330,2,B,0.47500000000000003,0.17499999999999993,TRUE,2,291,68,16,100
3,panel-04,0.3611429922552754,330,3,B,0.47500000000000003,0.17499999999999993,TRUE,2,291,77,16,100
3,panel-04,0.3611429922552754,330,4,B,0.47500000000000003,0.17499999999999993,TRUE,2,291,73,16,100
3,panel-04,0.14049747670662163,341,1,A,0.025,0.125,TRUE,1,40,74,14,100
3,panel-04,0.14049747670662163,341,2,A,0.025,0.125,TRUE,1,40,80,14,100
3,panel-04,0.14049747670662163,341,3,A,0.025,0.125,TRUE,1,40,77,14,100
3,panel-04,0.14049747670662163,341,4,A,0.025,0.125,TRUE,1,40,86,14,100
4,panel-05,0.08495996701805,17,1,B,0.8250000000000001,0.975,TRUE,2,17,84,17,100
4,panel-05,0.08495996701805,17,2,B,0.8250000000000001,0.975,TRUE,2,17,83,17,100
4,panel-05,0.08495996701805,17,3,B,0.8250000000000001,0.975,TRUE,2,17,78,17,100
4,panel-05,0.08495996701805,17,4,B,0.8250000000000001,0.975,TRUE,2,17,83,17,100
4,panel-05,-0.0931472156184486,107,1,B,0.325,0.725,TRUE,2,107,91,18,100
4,panel-05,-0.0931472156184486,107,2,B,0.325,0.725,TRUE,2,107,90,18,100
4,panel-05,-0.0931472156184486,107,3,B,0.325,0.725,TRUE,2,107,82,18,100
4,panel-05,-0.0931472156184486,107,4,B,0.325,0.725,TRUE,2,107,88,18,100
4,panel-05,-0.002055424082110662,133,1,B,0.625,0.675,TRUE,2,133,82,19,100
4,panel-05,-0.002055424082110662,133,2,B,0.625,0.675,TRUE,2,133,82,19,100
4,panel-05,-0.002055424082110662,133,3,B,0.625,0.675,TRUE,2,133,89,19,100
4,panel-05,-0.002055424082110662,133,4,B,0.625,0.675,TRUE,2,133,95,19,100
4,panel-05,0.28088494837367917,223,1,A,0.125,0.42499999999999993,TRUE,1,10,79,15,100
4,panel-05,0.28088494837367917,223,2,A,0.125,0.42499999999999993,TRUE,1,10,77,15,100
4,panel-05,0.28088494837367917,223,3,A,0.125,0.42499999999999993,TRUE,1,10,77,15,100
4,panel-05,0.28088494837367917,223,4,A,0.125,0.42499999999999993,TRUE,1,10,82,15,100
4,panel-05,-0.06676444568462148,302,1,A,0.07500000000000001,0.22499999999999998,TRUE,1,28,86,16,100
4,panel-05,-0.06676444568462148,302,2,A,0.07500000000000001,0.22499999999999998,TRUE,1,28,82,16,100
4,panel-05,-0.06676444568462148,302,3,A,0.07500000000000001,0.22499999999999998,TRUE,1,28,88,16,100
4,panel-05,-0.06676444568462148,302,4,A,0.07500000000000001,0.22499999999999998,TRUE,1,28,85,16,100
4,panel-05,-0.0398001252927509,325,1,A,0.225,0.17499999999999993,TRUE,1,37,80,17,100
4,panel-05,-0.0398001252927509,325,2,A,0.225,0.17499999999999993,TRUE,1,37,73,17,100
4,panel-05,-0.0398001252927509,325,3,A,0.225,0.17499999999999993,TRUE,1,37,75,17,100
4,panel-05,-0.0398001252927509,325,4,A,0.225,0.17499999999999993,TRUE,1,37,83,17,100
4,panel-05,-0.08093681461998638,394,1,B,0.675,0.02499999999999991,TRUE,2,330,94,20,100
4,panel-05,-0.08093681461998638,394,2,B,0.675,0.02499999999999991,TRUE,2,330,88,20,100
4,panel-05,-0.08093681461998638,394,3,B,0.675,0.02499999999999991,TRUE,2,330,88,20,100
4,panel-05,-0.08093681461998638,394,4,B,0.675,0.02499999999999991,TRUE,2,330,83,20,100
